"Timestamp","Ward (1 - 66)","Division (1 - 51)","Time of day","Voter number within your division (how many people voted before you, plus you)"
"11/5/2019 10:20:33","15","19",10:19:00,72
"11/5/2019 10:20:39","56","11",10:16:00,37
"11/5/2019 10:21:10","56","19",10:19:00,28
"11/5/2019 10:23:14","31","4",10:23:00,87
"11/5/2019 10:24:12","39","34",09:03:00,22
"11/5/2019 10:24:23","46","19",09:54:00,112
"11/5/2019 10:24:54","15","14",10:24:00,98
"11/5/2019 10:25:44","27","14",10:25:00,72
"11/5/2019 10:29:08","8","22",10:17:00,39
"11/5/2019 10:30:40","31","13",08:10:00,18
"11/5/2019 10:31:12","8","22",10:31:00,40
"11/5/2019 10:32:10","8","8",10:00:00,70
"11/5/2019 10:32:14","1","14",10:00:00,57
"11/5/2019 10:32:26","2","24",10:28:00,101
"11/5/2019 10:35:09","15","19",08:00:00,22
"11/5/2019 10:35:28","39","32",09:00:00,0
"11/5/2019 10:36:03","2","23",10:35:00,114
"11/5/2019 10:37:36","8","22",10:36:00,42
"11/5/2019 10:38:10","30","7",10:15:00,109
"11/5/2019 10:39:33","15","12",09:20:00,60
"11/5/2019 10:40:30","5","3",08:30:00,36
"11/5/2019 10:41:29","31","03",09:10:00,37
"11/5/2019 10:43:08","39","26",09:20:00,54
"11/5/2019 10:43:33","8","13",10:09:00,59
"11/5/2019 10:45:13","46","22",08:20:00,41
"11/5/2019 10:45:37","8","3",10:03:00,100
"11/5/2019 10:46:13","29","12",09:30:00,50
"11/5/2019 10:46:35","7","30",09:00:00,87
"11/5/2019 10:46:53","8","13",10:09:00,59
"11/5/2019 10:48:08","18","17",09:30:00,74
"11/5/2019 10:48:14","06","07",10:15:00,64
"11/5/2019 10:50:46","59","21",09:38:00,39
"11/5/2019 10:53:13","31","18",07:50:00,8
"11/5/2019 10:53:19","2","10",08:06:00,26
"11/5/2019 10:55:37","2","9",10:52:00,73
"11/5/2019 10:58:59","27","23",11:00:00,117
"11/5/2019 11:00:47","15","3",11:00:00,101
"11/5/2019 11:00:54","27","23",11:00:00,116
"11/5/2019 11:03:23","2","7",11:03:00,114
"11/5/2019 11:03:30","8","22",11:03:00,45
"11/5/2019 11:03:35","8","19",10:58:00,135
"11/5/2019 11:03:59","8","25",09:54:00,78
"11/5/2019 11:04:25","8","19",10:58:00,135
"11/5/2019 11:04:46","22","2",07:30:00,31
"11/5/2019 11:05:40","36","03",09:50:00,49
"11/5/2019 11:05:46","5","26",11:00:00,88
"11/5/2019 11:06:00","3","10",09:50:00,30
"11/5/2019 11:07:04","8","22",11:06:00,46
"11/5/2019 11:08:36","1","10",11:08:00,81
"11/5/2019 11:09:35","46","17",11:00:00,162
"11/5/2019 11:13:18","2","17",10:40:00,93
"11/5/2019 11:15:05","18","10",11:14:00,92
"11/5/2019 11:15:15","48","12",09:15:00,25
"11/5/2019 11:16:16","12","17",08:05:00,18
"11/5/2019 11:17:36","1","8",11:17:00,67
"11/5/2019 11:18:24","36","36",08:30:00,48
"11/5/2019 11:19:05","8","32",11:18:00,81
"11/5/2019 11:19:39","8","26",11:19:00,92
"11/5/2019 11:20:12","18","01",11:20:00,53
"11/5/2019 11:20:30","18","17",11:00:00,101
"11/5/2019 11:21:49","14","1",08:44:00,50
"11/5/2019 11:22:03","39","26",08:30:00,37
"11/5/2019 11:23:12","1","20",07:15:00,4
"11/5/2019 11:23:24","22","03",10:30:00,62
"11/5/2019 11:23:39","8","22",11:23:00,48
"11/5/2019 11:25:47","05","06",09:15:00,63
"11/5/2019 11:25:55","08","16",11:10:00,116
"11/5/2019 11:26:20","29","16",07:15:00,8
"11/5/2019 11:26:42","8","22",11:26:00,49
"11/5/2019 11:27:02","14","5",07:30:00,8
"11/5/2019 11:28:17","1","2",11:25:00,80
"11/5/2019 11:31:47","46","18",08:25:00,102
"11/5/2019 11:31:55","46","01",09:35:00,68
"11/5/2019 11:32:27","8","22",11:32:00,50
"11/5/2019 11:32:50","36","41",09:20:00,31
"11/5/2019 11:34:36","9","10",11:35:00,107
"11/5/2019 11:35:02","9","10",11:35:00,108
"11/5/2019 11:35:23","15","17",07:20:00,8
"11/5/2019 11:37:06","65","4",09:15:00,43
"11/5/2019 11:37:48","8","22",11:37:00,51
"11/5/2019 11:41:10","24","08",07:50:00,12
"11/5/2019 11:41:21","1","10",10:40:00,78
"11/5/2019 11:43:41","39","19",07:45:00,8
"11/5/2019 11:44:39","29","18",11:30:00,53
"11/5/2019 11:45:07","47","1",11:44:00,57
"11/5/2019 11:46:50","18","10",07:15:00,10
"11/5/2019 11:48:41","36","29",08:40:00,31
"11/5/2019 11:49:19","22","3",10:10:00,55
"11/5/2019 11:49:57","46","16",08:10:00,55
"11/5/2019 11:50:44","60","08",11:40:00,56
"11/5/2019 11:52:01","46","1",07:58:00,28
"11/5/2019 11:52:41","15","15",08:45:00,41
"11/5/2019 11:53:23","45","1",11:55:00,67
"11/5/2019 11:53:55","45","3",11:55:00,82
"11/5/2019 11:54:48","30","5",09:30:00,55
"11/5/2019 11:55:50","21","15",08:30:00,40
"11/5/2019 11:57:07","5","35",08:00:00,16
"11/5/2019 11:57:43","8","22",11:57:00,53
"11/5/2019 11:57:56","21","13",10:20:00,42
"11/5/2019 11:58:33","2","7",11:50:00,122
"11/5/2019 12:00:29","8","8",12:00:00,127
"11/5/2019 12:01:50","1","20",10:29:00,92
"11/5/2019 12:02:06","8","33",08:55:00,27
"11/5/2019 12:02:25","39","43",12:01:00,65
"11/5/2019 12:04:26","46","1",10:00:00,98
"11/5/2019 12:04:49","31","10",07:55:00,9
"11/5/2019 12:07:28","8","22",12:07:00,55
"11/5/2019 12:10:09","14","5",08:00:00,8
"11/5/2019 12:11:29","46","22",09:00:00,51
"11/5/2019 12:12:15","64","08",12:10:00,50
"11/5/2019 12:12:54","64","10",12:15:00,34
"11/5/2019 12:13:18","64","9",12:15:00,26
"11/5/2019 12:14:53","12","17",12:10:00,78
"11/5/2019 12:15:58","1","11",12:15:00,131
"11/5/2019 12:20:15","15","17",12:20:00,125
"11/5/2019 12:23:39","9","2",12:15:00,129
"11/5/2019 12:25:06","1","10",12:20:00,100
"11/5/2019 12:25:42","1","10",12:25:00,100
"11/5/2019 12:29:14","30","13",12:25:00,112
"11/5/2019 12:32:29","30","9",07:40:00,43
"11/5/2019 12:32:46","8","22",12:32:00,63
"11/5/2019 12:35:09","39","42",07:10:00,8
"11/5/2019 12:36:37","30","13",12:30:00,123
"11/5/2019 12:38:17","5","1",00:38:00,149
"11/5/2019 12:39:01","5","37",00:38:00,69
"11/5/2019 12:39:14","2","24",00:30:00,142
"11/5/2019 12:39:54","30","17",10:00:00,116
"11/5/2019 12:40:58","59","22",11:30:00,77
"11/5/2019 12:41:34","63","06",12:41:00,68
"11/5/2019 12:42:20","5","28",12:42:00,80
"11/5/2019 12:42:35","21","12",12:42:00,64
"11/5/2019 12:44:35","1","13",11:45:00,98
"11/5/2019 12:45:01","1","13",11:30:00,91
"11/5/2019 12:45:09","36","40",12:40:00,97
"11/5/2019 12:45:18","46","13",12:34:00,39
"11/5/2019 12:47:01","18","14",07:20:00,5
"11/5/2019 12:47:29","27","17",09:20:00,21
"11/5/2019 12:48:36","8","22",12:47:00,65
"11/5/2019 12:51:20","2","8",00:50:00,97
"11/5/2019 12:52:24","5","26",12:37:00,114
"11/5/2019 12:53:39","30","3",07:15:00,3
"11/5/2019 12:55:45","8","22",12:55:00,67
"11/5/2019 12:58:08","58","43",13:00:00,46
"11/5/2019 12:58:43","58","02",13:00:00,20
"11/5/2019 12:59:16","58","37",13:00:00,73
"11/5/2019 12:59:39","22","3",12:30:00,111
"11/5/2019 12:59:44","26","17",09:10:00,25
"11/5/2019 12:59:51","58","32",13:00:00,28
"11/5/2019 13:00:13","36","29",08:45:00,36
"11/5/2019 13:01:52","8","22",13:01:00,69
"11/5/2019 13:05:50","36","36",07:48:00,30
"11/5/2019 13:06:38","9","14",09:20:00,46
"11/5/2019 13:07:14","46","17",12:30:00,213
"11/5/2019 13:07:31","2","7",13:07:00,144
"11/5/2019 13:08:03","5","6",08:00:00,26
"11/5/2019 13:08:16","2","4",08:30:00,41
"11/5/2019 13:09:17","08","04",08:50:00,83
"11/5/2019 13:13:50","5","30",12:45:00,103
"11/5/2019 13:16:43","9","3",12:00:00,154
"11/5/2019 13:16:45","31","03",11:00:00,53
"11/5/2019 13:20:49","46","23",08:15:00,58
"11/5/2019 13:23:17","2","7",13:23:00,154
"11/5/2019 13:24:25","13","12",13:20:00,75
"11/5/2019 13:24:51","8","22",13:16:00,75
"11/5/2019 13:30:24","2","15",13:00:00,117
"11/5/2019 13:32:23","50","14",07:45:00,18
"11/5/2019 13:32:43","1","3",12:00:00,132
"11/5/2019 13:32:57","1","3",12:00:00,132
"11/5/2019 13:33:02","30","02",13:00:00,125
"11/5/2019 13:34:04","30","15",12:05:00,84
"11/5/2019 13:35:55","8","22",13:35:00,76
"11/5/2019 13:36:03","1","8",13:35:00,85
"11/5/2019 13:40:08","46","23",13:20:00,145
"11/5/2019 13:40:32","8","22",13:40:00,77
"11/5/2019 13:42:51","18","12",07:15:00,6
"11/5/2019 13:44:46","5","28",13:40:00,97
"11/5/2019 13:47:34","5","4",07:00:00,1
"11/5/2019 13:49:05","14","07",13:00:00,68
"11/5/2019 13:52:00","30","15",13:40:00,110
"11/5/2019 13:52:20","36","37",13:45:00,146
"11/5/2019 13:52:38","02","05",12:15:00,100
"11/5/2019 13:53:14","5","37",13:52:00,78
"11/5/2019 13:53:50","5","1",13:53:00,174
"11/5/2019 13:56:18","8","22",13:55:00,79
"11/5/2019 13:57:27","8","32",13:57:00,104
"11/5/2019 13:57:27","29","10",13:50:00,67
"11/5/2019 13:57:58","5","31",13:50:00,37
"11/5/2019 13:58:04","8","26",13:57:00,131
"11/5/2019 13:58:09","21","30",07:50:00,22
"11/5/2019 14:03:28","47","02",13:50:00,61
"11/5/2019 14:02:15","8","3",08:30:00,49
"11/5/2019 14:06:24","21","11",09:35:00,41
"11/5/2019 14:07:18","31","11",13:00:00,103
"11/5/2019 14:12:48","8","8",14:12:00,171
"11/5/2019 14:12:48","8","22",14:12:00,82
"11/5/2019 14:18:15","36","29",11:35:00,60
"11/5/2019 14:19:40","01","02",14:15:00,104
"11/5/2019 14:21:13","2","7",14:21:00,160
"11/5/2019 14:22:09","56","05",14:20:00,60
"11/5/2019 14:22:39","56","19",14:20:00,102
"11/5/2019 14:25:23","08","17",14:25:00,139
"11/5/2019 14:25:42","5","16",14:20:00,121
"11/5/2019 14:26:48","41","12",14:25:00,44
"11/5/2019 14:27:37","5","3",07:05:00,6
"11/5/2019 14:28:14","15","3",14:27:00,160
"11/5/2019 14:29:14","46","17",14:15:00,251
"11/5/2019 14:31:09","61","20",14:30:00,96
"11/5/2019 14:31:38","08","13",14:25:00,128
"11/5/2019 14:32:23","61","27",14:30:00,112
"11/5/2019 14:32:58","61","28",14:30:00,116
"11/5/2019 14:33:44","46","8",14:33:00,199
