"timestamp","ward","div","time_of_day","obs","vote_method"
"11/3/2020 11:55:04","18","16",11:45:00,"192","in person"
"11/3/2020 11:56:02","18","17",11:45:00,"193","in person"
"11/3/2020 11:56:50","2","17",11:45:00,"111","in person"
"11/3/2020 11:57:00","36","10",11:50:00,"112","in person"
"11/3/2020 11:57:39","2","17",11:50:00,"112","in person"
"11/3/2020 12:03:38","36","37",12:00:00,"153","in person"
"11/3/2020 12:04:09","36","38",12:00:00,"118","in person"
"11/3/2020 12:04:37","2","18",09:40:00,"88","in person"
"11/3/2020 12:04:55","39","42",21:00:00,"8","by mail"
"11/3/2020 12:05:56","39","42",21:00:00,"8","by mail"
"11/3/2020 12:07:28","1","10",12:05:00,"127","in person"
"11/3/2020 12:10:30","08","03",09:20:00,"123","in person"
"11/3/2020 12:10:46","8","3",09:22:00,"125","in person"
"11/3/2020 12:12:32","2","9",11:00:00,"104","in person"
"11/3/2020 12:13:37","2","19",08:13:00,"8675308","by mail"
"11/3/2020 12:13:51","5","6",07:22:00,"9","in person"
"11/3/2020 12:13:53","1","1",12:01:00,"96","in person"
"11/3/2020 12:14:08","1","3",12:01:00,"164","in person"
"11/3/2020 12:14:11","21","25",12:00:00,"127","in person"
"11/3/2020 12:14:26","1","7",12:01:00,"69","in person"
"11/3/2020 12:14:38","1","10",12:01:00,"127","in person"
"11/3/2020 12:14:51","1","14",12:01:00,"128","in person"
"11/3/2020 12:15:01","8","3",00:00:00,"0","by mail"
"11/3/2020 12:15:05","1","15",12:01:00,"191","in person"
"11/3/2020 12:15:21","1","17",12:01:00,"175","in person"
"11/3/2020 12:15:37","1","19",12:01:00,"166","in person"
"11/3/2020 12:15:49","15","3",12:15:00,"175","in person"
"11/3/2020 12:15:55","1","21",12:01:00,"160","in person"
"11/3/2020 12:16:04","39","34",14:00:00,"2","by mail"
"11/3/2020 12:19:00","46","04",12:00:00,"52","by mail"
"11/3/2020 12:19:49","15","13",08:00:00,"18","by mail"
"11/3/2020 12:20:29","27","2",10:00:00,"65","in person"
"11/3/2020 12:23:52","49","3",12:15:00,"216","in person"
"11/3/2020 12:25:42","15","11",07:00:00,"17","in person"
"11/3/2020 12:27:42","5","26",12:02:00,"182","in person"
"11/3/2020 12:29:34","29","11",12:00:00,"1","by mail"
"11/3/2020 12:29:56","31","3",12:29:00,"175","in person"
"11/3/2020 12:30:06","47","1",00:28:00,"150","in person"
"11/3/2020 12:31:00","31","13",12:29:00,"151","in person"
"11/3/2020 12:34:46","8","32",00:00:00,"1E+19","by mail"
"11/3/2020 12:34:55","21","33",00:34:00,"242","in person"
"11/3/2020 12:34:56","15","7",10:47:00,"1","in person"
"11/3/2020 12:38:36","17","16",12:38:00,"80","in person"
"11/3/2020 12:39:46","65","22",11:00:00,"121","in person"
"11/3/2020 12:40:13","05","28",12:38:00,"208","in person"
"11/3/2020 12:40:19","05","28",12:38:00,"208","in person"
"11/3/2020 12:41:08","1","20",11:00:00,"127","in person"
"11/3/2020 12:44:12","60","8",12:23:00,"80","in person"
"11/3/2020 12:44:54","65","9",07:40:00,"22","in person"
"11/3/2020 12:45:41","46","18",08:00:00,"32","in person"
"11/3/2020 12:48:32","1","8",08:05:00,"8","by mail"
"11/3/2020 12:49:11","5","25",12:50:00,"121","in person"
"11/3/2020 12:50:14","8","31",12:02:00,"123","in person"
"11/3/2020 12:52:15","30","7",12:30:00,"161","in person"
"11/3/2020 12:53:23","9","7",13:00:00,"127","in person"
"11/3/2020 12:54:38","15","9",00:53:00,"133","in person"
"11/3/2020 12:54:49","9","8",13:00:00,"110","in person"
"11/3/2020 12:55:40","8","22",12:50:00,"176","by mail"
"11/3/2020 12:56:46","52","17",12:30:00,"120","in person"
"11/3/2020 12:56:50","40","2",12:55:00,"146","in person"
"11/3/2020 12:57:13","48","20",15:00:00,"3","by mail"
"11/3/2020 12:58:28","5","32",07:25:00,"35","in person"
"11/3/2020 12:59:58","5","29",12:40:00,"58","in person"
"11/3/2020 13:02:59","38","18",08:00:00,"11","by mail"
"11/3/2020 13:04:47","19","2",13:04:00,"128","in person"
"11/3/2020 13:05:24","19","3",13:05:00,"72","in person"
"11/3/2020 13:06:02","19","4",13:05:00,"81","in person"
"11/3/2020 13:07:40","27","2",13:02:00,"100","in person"
"11/3/2020 13:09:32","26","17",16:00:00,"6","by mail"
"11/3/2020 13:11:47","22","17",14:00:00,"2021","by mail"
"11/3/2020 13:12:57","8","34",13:12:00,"113","in person"
"11/3/2020 13:13:02","8","10",08:20:00,"66","in person"
"11/3/2020 13:14:27","18","02",08:16:00,"0","by mail"
"11/3/2020 13:14:58","31","13",12:29:00,"151","in person"
"11/3/2020 13:15:29","36","09",13:00:00,"112","in person"
"11/3/2020 13:18:22","21","22",07:00:00,"20","in person"
"11/3/2020 13:21:10","15","14",13:20:00,"117","in person"
"11/3/2020 13:22:25","66","46",03:00:00,"11","by mail"
"11/3/2020 13:23:52","66","46",08:00:00,"12","by mail"
"11/3/2020 13:26:31","30","6",13:25:00,"141","in person"
"11/3/2020 13:27:18","36","40",12:00:00,"1","by mail"
"11/3/2020 13:29:44","39","14",13:30:00,"175","in person"
"11/3/2020 13:29:52","43","20",13:29:00,"120","in person"
"11/3/2020 13:31:02","05","32",01:30:00,"198","in person"
"11/3/2020 13:31:37","05","17",13:30:00,"194","in person"
"11/3/2020 13:33:39","31","5",11:10:00,"1","in person"
"11/3/2020 13:33:52","27","7",01:33:00,"116","in person"
"11/3/2020 13:37:37","27","1",13:30:00,"119","in person"
"11/3/2020 13:38:01","46","22",08:00:00,"22","by mail"
"11/3/2020 13:38:20","46","16",07:45:00,"34","in person"
"11/3/2020 13:39:39","41","25",09:15:00,"74","in person"
"11/3/2020 13:40:16","29","11",12:05:00,"2","by mail"
"11/3/2020 13:43:18","17","17",13:43:00,"115","in person"
"11/3/2020 13:43:24","5","37",13:43:00,"130","in person"
"11/3/2020 13:43:32","8","17",13:45:00,"166","in person"
"11/3/2020 13:43:44","26","5",08:30:00,"76","in person"
"11/3/2020 13:44:26","5","1",13:43:00,"133","in person"
"11/3/2020 13:44:39","8","18",13:45:00,"88","in person"
"11/3/2020 13:45:17","17","17",13:43:00,"115","in person"
"11/3/2020 13:47:25","15","10",10:40:00,"121","in person"
"11/3/2020 13:48:02","18","10",13:45:00,"188","in person"
"11/3/2020 13:48:51","39","43",13:48:00,"160","in person"
"11/3/2020 13:51:34","36","37",13:51:00,"170","in person"
"11/3/2020 13:52:05","60","09",00:40:00,"107","in person"
"11/3/2020 13:52:29","36","38",13:52:00,"137","in person"
"11/3/2020 13:57:22","46","4",13:00:00,"10","by mail"
"11/3/2020 14:00:55","46","6",12:00:00,"100","by mail"
"11/3/2020 14:01:52","18","17",13:45:00,"238","in person"
"11/3/2020 14:02:19","31","3",14:00:00,"194","in person"
"11/3/2020 14:03:16","27","19",09:00:00,"0","in person"
"11/3/2020 14:06:00","47","1",14:05:00,"166","in person"
"11/3/2020 14:09:54","5","7",10:10:00,"10","by mail"
"11/3/2020 14:12:52","29","11",13:45:00,"109","in person"
"11/3/2020 14:13:00","46","16",11:00:00,"69","by mail"
"11/3/2020 14:17:38","05","28",02:17:00,"228","in person"
"11/3/2020 14:18:04","30","12",09:00:00,"0","by mail"
"11/3/2020 14:18:27","5","10",08:00:00,"63","in person"
"11/3/2020 14:20:36","15","09",15:00:00,"16","by mail"
"11/3/2020 14:23:36","39","42",10:30:00,"90","in person"
"11/3/2020 14:25:13","46","16",08:00:00,"49","in person"
"11/3/2020 14:25:25","64","14",14:25:00,"114","in person"
"11/3/2020 14:28:09","8","34",14:27:00,"124","in person"
"11/3/2020 14:28:42","18","10",14:28:00,"216","in person"
"11/3/2020 14:29:05","15","3",14:28:00,"202","in person"
"11/3/2020 14:30:41","18","02",14:30:00,"139","in person"
"11/3/2020 14:31:12","27","06",14:30:00,"220","in person"
"11/3/2020 14:31:32","18","01",14:30:00,"204","in person"
"11/3/2020 14:35:43","9","14",11:00:00,"46","in person"
"11/3/2020 14:36:48","15","14",14:36:00,"125","in person"
"11/3/2020 14:37:06","39","9",14:15:00,"158","in person"
"11/3/2020 14:37:41","46","16",14:37:00,"153","in person"
"11/3/2020 14:39:18","30","02",13:50:00,"131","in person"
"11/3/2020 14:42:26","26","22",07:05:00,"6","in person"
